Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,Row.PartNumber,Row.Quantity,Row.HasCADMatch,Row.CADPart.Id,Row.CADPart.CarryOver,Row.CADPart.KdpMatch
MICA-tape,UC,MICA,0.5mm,0,0.765645,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405102,True,OK Inherited
Insulation,UC,Certoplast 525 SE+mica,1mm,0,0.243722,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405102,True,OK Inherited
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405104,True,OK Inherited
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405106,True,OK Inherited
PartBody,,PA6,,0,15.4353,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405108,True,OK Inherited
PartBody,,PA6,,0,3.35937,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405110,True,OK Inherited
Busbar Cu Laminated,UC,Copper preliminary,8mm,0,84.8346,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405126,True,OK Inherited
MICA-tape,UC,MICA,0.5mm,0,0.765645,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405126,True,OK Inherited
Insulation,UC,Certoplast 525 SE+mica,1mm,0,0.243722,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405126,True,OK Inherited
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405128,True,OK Inherited
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405130,True,OK Inherited
PartBody,,PA6,,0,15.4353,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405132,True,OK Inherited
PartBody,,PA6,,0,3.35937,840,3113,50,V536310VSOPCHPLV,32263863,6.0,True,id405134,True,OK Inherited
PartBody,,PA6-GF60,,0,67.8169,840,3113,50,V536310VSOPCHPLV,32263861,1.0,True,id405338,True,Wrong Revision Inherited
PartBody,,STEEL,,0,6.48114,840,3113,50,V536310VSOPCHPLV,32263861,1.0,True,id405347,True,Wrong Revision Inherited
PartBody,,PA6-GF45FR,,0,43.3705,840,3113,50,V536310VSOPCHPLV,32263860,1.0,True,id405315,True,OK
Busbar Solid Cu,UC,Copper,3mm,0,700.158,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Braided Cu,UC,Copper,3.2mm,0,64.0403,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Solid Insulation 1_Mica Tape,UC,Mica,0.5mm,0,28.8862,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Solid Insulation 2_Protective Tape,UC,Certoplast 525 SE,1mm,0,64.6677,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Braid Insulation 1_Mica Tape,UC,Mica,0.5mm,0,2.06703,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Braid Insulation 2_Protective Tape,UC,Certoplast 525 SE,1mm,0,4.6419,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
Polyester Braided Sleeve,UC,Polyester (PET),1mm,0,0.453418,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405507,True,Wrong Revision Inherited
PartBody,,mixed material,,0,0.0,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405516,True,Wrong Revision Inherited
PartBody,,Steel,,0,0.0,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405525,True,Wrong Revision Inherited
PartBody,NA,PA66,0.8mm,0,4.23785,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405543,True,Wrong Revision Inherited
Busbar Solid Cu,UC,Copper,3mm,0,683.868,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
Braided Cu,UC,Copper,3.2mm,0,81.3577,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
Solid Insulation 1_Mica Tape,UC,Mica,0.5mm,0,27.8657,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
